,Poll End Date,Source,Voting Intention,LIBERAL,NATIONAL,COALITION,ALP,GREENS,PALMER UNITED,FAMILY FIRST,DEMOCRATS,PAULINE HANSON / ONE NATION,OTHERS,Two Party Preferred,COALITION (2PP),LABOR (2PP),PM Satisfaction,SATISFIED (PM),DISSATISFIED (PM),LOTO Satisfaction,SATISFIED (LOTO),DISSATISFIED (LOTO),Preferred PM,PRIME MINISTER (PPM),OPPOSITION LEADER (PPM),,PRIME MINISTER,OPPOSITION LEADER
44_LNC_TA_ALP_CB,24-Sep-13,Essential,,41,2,43,37,9,,,,,11,,51,49,,41,36,,,,,37,32,,MR TONY ABBOTT,MR CHRIS BOWEN A/g
44_LNC_TA_ALP_CB,22-Sep-13,Morgan Multi,,41,2.5,43.5,34,10.5,,,,,12,,50.5,49.5,,,,,,,,,,,MR TONY ABBOTT,MR CHRIS BOWEN A/g
44_LNC_TA_ALP_CB,16-Sep-13,Essential,,42,3,44,36,9,,,,,11,,53,47,,,,,,,,,,,MR TONY ABBOTT,MR CHRIS BOWEN A/g
44_LNC_TA_ALP_CB,09-Sep-13,Essential,,41,3,45,35,9,,,,,12,,53,47,,,,,,,,,,,MR TONY ABBOTT,MR CHRIS BOWEN A/g
43_ALP_KR_LNC_TA,07-Sep-13,Election,,41.3,4.3,45.6,33.4,8.6,,,,,12.4,,53.4,46.6,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
43_ALP_KR_LNC_TA,06-Sep-13,Morgan Multi,,,,44,31.5,10.5,,,,,14,,53.5,46.5,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
43_ALP_KR_LNC_TA,05-Sep-13,ReachTEL,,40.4,3.1,43.5,33.7,10.2,7,,,,5.7,,53,47,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
43_ALP_KR_LNC_TA,05-Sep-13,Morgan Multi,,,,45,31.5,9.5,,,,,14,,53.5,46.5,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
43_ALP_KR_LNC_TA,05-Sep-13,Newspoll,,,,46,33,9,,,,,12,,54,46,,33,58,,44,50,,43,45,,MR KEVIN RUDD,MR TONY ABBOTT
43_ALP_KR_LNC_TA,05-Sep-13,Nielsen,,,,46,33,11,,,,,10,,54,46,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
43_ALP_KR_LNC_TA,05-Sep-13,Essential Online,,,,43,35,10,,,,,12,,52,48,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
43_ALP_KR_LNC_TA,04-Sep-13,ReachTEL,,40.5,3.1,43.6,32.7,10,6.1,,,,7.6,,53,47,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
43_ALP_KR_LNC_TA,04-Sep-13,Galaxy,,,,45,35,9,,,,,11,,53,47,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
43_ALP_KR_LNC_TA,03-Sep-13,ReachTEL,,41.3,2.9,44.2,35.3,9.7,4.4,,,,6.3,,52,48,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
43_ALP_KR_LNC_TA,02-Sep-13,Essential,,41,3,44,35,10,,,,,11,,53,47,,42,47,,40,49,,44,38,,MR KEVIN RUDD,MR TONY ABBOTT
43_ALP_KR_LNC_TA,01-Sep-13,Morgan Multi,,40,3,43,34,11,,,,,12,,52,48,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
43_ALP_KR_LNC_TA,01-Sep-13,Newspoll,,,,46,33,10,,,,,11,,54,46,,32,58,,41,51,,41,43,,MR KEVIN RUDD,MR TONY ABBOTT
43_ALP_KR_LNC_TA,01-Sep-13,Galaxy,,,,46,35,10,,,,,9,,53,47,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
43_ALP_KR_LNC_TA,26-Aug-13,ReachTEL,,43.2,3.3,46.5,35.7,10.1,2.4,,,,5.3,,53,47,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
43_ALP_KR_LNC_TA,26-Aug-13,Essential,,40,2,42,38,11,,,,,9,,50,50,,,,,37,52,,43,34,,MR KEVIN RUDD,MR TONY ABBOTT
43_ALP_KR_LNC_TA,25-Aug-13,Newspoll,,,,47,37,9,,,,,7,,54,46,,36,52,,42,49,,44,40,,MR KEVIN RUDD,MR TONY ABBOTT
43_ALP_KR_LNC_TA,25-Aug-13,Morgan Multi,,42.5,2.5,45,34.5,11,,,,,9.5,,51.5,48.5,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
43_ALP_KR_LNC_TA,22-Aug-13,Nielsen,,,,47,35,10,,,,,7,,53,47,,43,51,,44,52,,48,45,,MR KEVIN RUDD,MR TONY ABBOTT
43_ALP_KR_LNC_TA,19-Aug-13,Essential,,41,3,44,40,8,,,,,8,,50,50,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
43_ALP_KR_LNC_TA,18-Aug-13,Newspoll,,,,47,34,9,,,,,10,,54,46,,35,54,,41,51,,43,41,,MR KEVIN RUDD,MR TONY ABBOTT
43_ALP_KR_LNC_TA,18-Aug-13,Morgan Multi,,41,3.5,44.5,36.5,9.5,,,,,9.5,,51,49,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
43_ALP_KR_LNC_TA,15-Aug-13,Galaxy,,,,45,36,10,,,,,9,,52,48,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
43_ALP_KR_LNC_TA,13-Aug-13,Essential,,40,3,43,39,8,,,,,10,,51,49,,45,43,,37,51,,47,35,,MR KEVIN RUDD,MR TONY ABBOTT
43_ALP_KR_LNC_TA,11-Aug-13,Newspoll,,,,46,35,11,,,,,8,,52,48,,39,48,,38,52,,46,37,,MR KEVIN RUDD,MR TONY ABBOTT
43_ALP_KR_LNC_TA,11-Aug-13,Morgan Multi,,41,3,44,36.5,10.5,,,,,9,,50,50,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
43_ALP_KR_LNC_TA,10-Aug-13,ReachTEL,,43.6,3.3,46.9,36.9,8.9,1.7,,,,5.7,,53,47,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
43_ALP_KR_LNC_TA,09-Aug-13,Galaxy,,,,45,38,10,,,,,7,,51,49,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
43_ALP_KR_LNC_TA,08-Aug-13,Nielsen,,,,46,37,10,,,,,8,,52,48,,48,47,,45,52,,50,42,,MR KEVIN RUDD,MR TONY ABBOTT
43_ALP_KR_LNC_TA,05-Aug-13,Essential,,40,3,43,38,9,,,,,10,,51,49,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
43_ALP_KR_LNC_TA,04-Aug-13,ReachTEL,,42.3,3.4,45.7,37.5,8.2,1.8,,,,6.8,,52,48,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
43_ALP_KR_LNC_TA,04-Aug-13,Morgan Multi,,41,2,43,38,9.5,,,,,9.5,,50,50,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
43_ALP_KR_LNC_TA,04-Aug-13,Newspoll,,,,44,37,9,,,,,10,,52,48,,37,48,,34,56,,47,33,,MR KEVIN RUDD,MR TONY ABBOTT
43_ALP_KR_LNC_TA,29-Jul-13,Morgan Multi,,39,2.5,41.5,38.5,10.5,,,,,9.5,,48,52,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
43_ALP_KR_LNC_TA,29-Jul-13,Essential,,41,3,44,39,9,,,,,8,,51,49,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
43_ALP_KR_LNC_TA,25-Jul-13,Galaxy,,,,44,40,9,,,,,7,,50,50,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
43_ALP_KR_LNC_TA,23-Jul-13,Newspoll,,,,45,37,10,,,,,8,,52,48,,42,41,,35,56,,50,34,,MR KEVIN RUDD,MR TONY ABBOTT
43_ALP_KR_LNC_TA,23-Jul-13,Essential,,42,3,45,39,7,,,,,9,,51,49,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
43_ALP_KR_LNC_TA,23-Jul-13,Morgan,,38.5,2.5,41,41.5,9,,,,,8.5,,47.5,52.5,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
43_ALP_KR_LNC_TA,18-Jul-13,ReachTEL,,42,3.4,45.4,39.3,8.3,1.7,,,,5.3,,51,49,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
43_ALP_KR_LNC_TA,15-Jul-13,Essential,,42,2,46,39,7,,,,,8,,52,48,,50,35,,39,51,,50,35,,MR KEVIN RUDD,MR TONY ABBOTT
43_ALP_KR_LNC_TA,15-Jul-13,Morgan,,38,3,41,42,7,,,,,10,,47.5,52.5,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
43_ALP_KR_LNC_TA,13-Jul-13,Nielsen,,,,44,39,9,,1,,,7,,50,50,,51,43,,41,56,,55,41,,MR KEVIN RUDD,MR TONY ABBOTT
43_ALP_KR_LNC_TA,08-Jul-13,Morgan Multi,,36.5,3,39.5,41.5,8.5,,,,,10.5,,45.5,54.5,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
43_ALP_KR_LNC_TA,08-Jul-13,Essential,,42,4,46,38,8,,,,,7,,52,48,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
43_ALP_KR_LNC_TA,07-Jul-13,Newspoll,,,,42,38,9,,,,,11,,50,50,,43,36,,35,56,,53,31,,MR KEVIN RUDD,MR TONY ABBOTT
43_ALP_KR_LNC_TA,01-Jul-13,Morgan Multi,,37,3.5,40.5,39.5,8.5,,,,,11.5,,48.5,51.5,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
43_ALP_KR_LNC_TA,30-Jun-13,Newspoll,,,,43,35,11,,,,,11,,51,49,,36,36,,35,56,,49,35,,MR KEVIN RUDD,MR TONY ABBOTT
43_ALP_KR_LNC_TA,28-Jun-13,Galaxy,,,,44,38,10,,,,,8,,51,49,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
43_ALP_KR_LNC_TA,27-Jun-13,ReachTEL,,42.6,2.5,45.1,38.3,8.7,2,,,,5.8,,52,48,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
43_ALP_KR_LNC_TA,27-Jun-13,PM Change,,,,,,,,,,,,,,,,,,,,,,,,,MR KEVIN RUDD,MR TONY ABBOTT
43_ALP_JG_LNC_TA,26-Jun-13,Morgan SMS,,40.5,2.5,43,38,8.5,,,,,10.5,,50.5,49.5,,,,,,,,,,,MS JULIA GILLARD,MR TONY ABBOTT
43_ALP_JG_LNC_TA,23-Jun-13,Newspoll,,,,48,29,9,,,,,14,,57,43,,28,62,,36,53,,33,45,,MS JULIA GILLARD,MR TONY ABBOTT
43_ALP_JG_LNC_TA,23-Jun-13,Morgan,,44,3,47,30.5,9,,,,,13.5,,49.5,44.5,,,,,,,,,,,MS JULIA GILLARD,MR TONY ABBOTT
43_ALP_JG_LNC_TA,18-Jun-13,Essential,,44,3,47,35,8,,,,,9,,54,46,,,,,,,,,,,MS JULIA GILLARD,MR TONY ABBOTT
43_ALP_JG_LNC_TA,17-Jun-13,Morgan,,42.5,2,44.5,33,9,,,,,13.5,,53.5,46.5,,,,,,,,,,,MS JULIA GILLARD,MR TONY ABBOTT
43_ALP_JG_LNC_TA,15-Jun-13,Nielsen,,,,47,29,11,,6,,,11,,57,43,,36,61,,44,53,,41,50,,MS JULIA GILLARD,MR TONY ABBOTT
43_ALP_JG_LNC_TA,13-Jun-13,Galaxy,,,,47,32,11,,,,,10,,55,45,,,,,,,,,,,MS JULIA GILLARD,MR TONY ABBOTT
43_ALP_JG_LNC_TA,11-Jun-13,Essential,,44,3,47,36,8,,,,,9,,54,46,,37,54,,40,49,,39,40,,MS JULIA GILLARD,MR TONY ABBOTT
43_ALP_JG_LNC_TA,10-Jun-13,Morgan,,43.5,2.5,46,31,9.5,,,,,13.5,,56,44,,,,,,,,,,,MS JULIA GILLARD,MR TONY ABBOTT
43_ALP_JG_LNC_TA,04-Jun-13,Essential,,45,3,48,35,8,,,,,9,,55,45,,,,,,,,,,,MS JULIA GILLARD,MR TONY ABBOTT
43_ALP_JG_LNC_TA,03-Jun-13,Morgan,,42.5,3,45.5,31.5,9.5,,,,,13.5,,55,45,,,,,,,,,,,MS JULIA GILLARD,MR TONY ABBOTT
43_ALP_JG_LNC_TA,02-Jun-13,Newspoll,,,,49,30,9,,,,,12,,58,42,,28,62,,37,53,,35,43,,MS JULIA GILLARD,MR TONY ABBOTT
43_ALP_JG_LNC_TA,27-May-13,Essential,,45,3,48,34,8,,,,,10,,55,45,,,,,,,,,,,MS JULIA GILLARD,MR TONY ABBOTT
43_ALP_JG_LNC_TA,26-May-13,Morgan,,42.5,3,45.5,33.5,9.5,,,,,11.5,,54.5,45.5,,,,,,,,,,,MS JULIA GILLARD,MR TONY ABBOTT
43_ALP_JG_LNC_TA,20-May-13,Essential,,45,3,48,35,8,,,,,9,,55,45,,,,,,,,,,,MS JULIA GILLARD,MR TONY ABBOTT
43_ALP_JG_LNC_TA,19-May-13,Newspoll,,,,46,31,9,,,,,14,,56,44,,31,59,,37,54,,39,40,,MS JULIA GILLARD,MR TONY ABBOTT
43_ALP_JG_LNC_TA,19-May-13,Galaxy,,,,46,34,10,,,,,10,,54,46,,,,,,,,,,,MS JULIA GILLARD,MR TONY ABBOTT
43_ALP_JG_LNC_TA,19-May-13,Morgan,,43,2.5,45.5,32,10,,,,,12.5,,55,45,,,,,,,,,,,MS JULIA GILLARD,MR TONY ABBOTT
43_ALP_JG_LNC_TA,18-May-13,Nielsen,,,,44,32,11,,2,,,11,,54,46,,40,56,,42,54,,46,46,,MS JULIA GILLARD,MR TONY ABBOTT
